bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
21400,3850,1845,2005,10,9,46,23,12,73,18,7,2,15,2360,1.6,2299,407,9356.93,0.3,105
30009,3300,1770,1535,9,8,49,24,10,75,16,8,1,9,2095,1.5,2055,386,7932.3,0.3,95
18633,1115,565,550,9,8,30,33,19,62,25,9,4,6,680,1.6,771,448,3454.08,0.4,40
21132,4650,2320,2330,9,9,46,23,13,72,19,7,2,15,2890,1.6,2689,491,13202.99,0.3,140
27210,2720,1450,1270,10,9,45,26,9,75,16,8,1,14,1445,1.7,1377,462,6361.74,0.3,65
25113,4015,1995,2025,11,9,51,21,8,75,16,7,1,16,2450,1.6,2446,409,10004.14,0.3,115
32014,2245,1145,1095,8,11,52,21,8,78,16,5,1,8,1490,1.5,1466,419,6142.54,0.3,50
25991,2860,1340,1515,10,9,30,28,23,61,22,12,5,9,1765,1.6,1720,354,6088.8,0.3,50
30933,1860,950,910,9,8,46,26,10,74,16,9,1,13,1230,1.5,1222,385,4704.7,0.3,40
25420,2540,1220,1325,12,12,44,23,10,71,22,5,1,17,1455,1.7,1389,643,8931.27,0.4,80
16294,2605,1320,1290,10,10,34,29,18,67,22,9,2,9,1655,1.6,1630,520,8476.0,0.4,80
32957,2305,1130,1175,11,11,47,24,7,77,16,5,1,14,1400,1.7,1348,490,6605.2,0.3,60
28485,5695,2785,2905,10,9,52,21,8,75,18,6,1,14,3545,1.6,3382,463,15658.66,0.3,150
22240,2225,1045,1180,11,11,42,23,13,70,21,6,2,10,1260,1.7,1224,595,7282.8,0.4,40
6646,860,465,395,10,11,34,28,17,62,27,9,2,12,500,1.7,506,1066,5393.96,0.6,25
10111,910,445,465,12,12,28,27,22,63,24,9,5,4,465,1.8,440,790,3476.0,0.5,40
548,440,240,200,14,4,65,13,4,66,32,3,0,30,240,1.8,177,680,1203.6,0.9,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0
264,120,70,50,14,13,50,15,8,77,18,3,1,8,85,1.4,37,540,199.8,0.5,0
11036,2430,1330,1095,12,7,58,17,5,64,30,5,1,15,1415,1.7,1389,704,9778.56,1.8,40
3259,945,455,490,4,46,45,5,1,88,10,2,0,2,835,1.1,884,176,1555.84,0.6,20
21567,2590,1320,1270,10,12,46,24,8,75,19,5,1,14,1600,1.6,1495,539,8058.05,0.4,75
19120,1910,995,915,8,11,46,23,12,72,18,8,2,14,1285,1.5,1296,468,6065.28,0.2,40
23764,2615,1300,1315,8,10,50,23,9,76,16,6,1,11,1725,1.5,1706,482,8222.92,0.3,70
32138,2570,1255,1315,8,12,50,20,10,77,15,7,1,10,1740,1.5,1670,408,6813.6,0.2,60
21500,4945,2495,2450,7,13,50,21,10,76,16,6,1,8,3300,1.5,3289,437,14372.93,0.3,115
23855,2625,1210,1415,7,11,45,21,16,69,18,9,4,9,1785,1.5,1790,412,7374.8,0.3,60
27793,3890,1935,1960,9,9,51,22,9,75,17,7,1,15,2495,1.6,2458,446,10962.68,0.4,90
19533,2345,1135,1205,9,11,43,25,12,74,17,7,2,12,1425,1.6,1404,427,5995.08,0.3,45
23447,3515,1675,1845,9,10,49,21,12,73,18,7,2,13,2200,1.6,2149,439,9434.11,0.3,75
22036,3085,1495,1585,13,11,33,26,16,67,20,10,3,10,1775,1.7,1680,407,6837.6,0.4,85
23200,2785,1310,1475,10,10,36,27,17,65,20,11,3,8,1625,1.7,1626,409,6650.34,0.3,60
22100,2210,1045,1170,12,8,34,27,19,64,20,13,3,14,1335,1.7,1318,417,5496.06,0.3,45
16483,1980,1030,945,11,10,49,22,8,74,20,5,1,12,1195,1.7,1110,524,5816.4,0.3,35
